tx_type,tx_hash,amount,price_dollar,tx_date,price_date
BTC,8bef4873749bd8a8f99605bab355b73d3af5985ecb9ecc3fb57ed9f76e8adc0a,50432,0.5,1564757888,1564747888
ETH,0xb5c8bd9430b6cc87a0e2fe110ece6bf527fa4f170a4bc8cd032f768fc5219838,3.5,300,1564847888,1564747888
XTZ,ooDdmTcnvfk2iaDLfTEMWbNiqThD3dkMgA218CVAt6s5iUCUEcK,1800,20,1532747888,1532747888
ETH,0x8c881023673fef0c6d70e23217b36bf6d58a770d450b32938c687b95ec4d85f2,3.6,300,1562147834,1562157834
XTZ,oocKPE4gm3qS3YdznuKMacaoZ1viXeRmH76SMQSkcnpaXy6Nkve,1990,20,1534747832,1534647832
BTC,5500225ec01dad704ee4e369c52242d5790a2c05b989d86b0e945a7437f28217,59000,1.5,1564247832,1564747831
BTC,9f70aee3aabcd0142f9b40e6f6cd3b187fec8f1866ca55a31dd6b4ce163efe36,55000,2,1564347125,1562147888
BTC,aaaa4873749bd8a8f99605bab355b73d3af5985ecb9ecc3fb57ed9f76e8adc0a,50432,0.9,1564757888,1564747888
ETH,0xb5c8bd9430b6cc87a0e2fe110ecasbf527fa4f170a4bc8cd032f768fc5219838,3.5,200,1564847888,1564747888
XTZ,ooDdmTcnvfk2iaDLfTEMWbNiqThD3dkMgA218CVAt6cdiUCUEcK,1800,40,1532747888,1532747888
ETH,0x8c881023673fef0c6d70e23217b36bf6d58a770d4sxb32938c687b95ec4d85f2,3.6,330,1562147834,1562157834
XTZ,oocKPE4gm3qS3YdznuKMacaoZ1viXeRmH76SMQSkccdaXy6Nkve,1990,10,1534747832,1534647832
BTC,5500225ec01dad704ee4e369c52242sd790a2c05b989d86b0e945a7437f28217,59000,1.9,1564247832,1564747831
BTC,9f70aee3aabcd0142f9b40e6f6cd3b187fecaz1866ca55a31dd6b4ce163efe36,55000,20,1564347125,1562147888
